disease_type	disease_id	cell_type	celltype_species	cell_ID	cell_def	marker	marker_type	database_specificity	EC_score	species	gene_description	database
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	FCER2	positive	1.00	1	Human	Fc fragment of IgE receptor II 	Bagheri, M., Vosoughi, T., Hosseinzadeh, M. et al. Evaluation of immunophenotypic markers and clinico-hematological profile in chronic lymphocytic leukemia: implications for prognosis. BMC Res Notes13, 412 (2020). https://doi.org/10.1186/s13104-020-05243-7
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	FCGR2A	positive	0.33	1	Human	Fc fragment of IgG receptor IIa 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	FCGR2A	positive	0.33	2	Human	Fc fragment of IgG receptor IIa 	Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Saito, Y. et al. Identification of therapeutic targets for quiescent, chemotherapy-resistant human leukemia stem cells. Sci.Transl. Med.2, 17ra9 (2010).
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	FCGR2B	positive	1.00	1	Human	Fc fragment of IgG receptor IIb 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	FCGR2C	positive	1.00	1	Human	Fc fragment of IgG receptor IIc (gene/pseudogene) 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	FCRL5	positive	1.00	1	Human	Fc receptor like 5 	BioCompare
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	FRZB	positive	1.00	1	Human	frizzled related protein 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	GLI1	positive	1.00	1	Human	GLI family zinc finger 1 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	GLI2	positive	1.00	1	Human	GLI family zinc finger 2 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	HAVCR2	positive	0.20	1	Human	hepatitis A virus cellular receptor 2 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	HAVCR2	positive	0.20	4	Human	hepatitis A virus cellular receptor 2 	CellMarker; Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Kikushige, Y. et al. TIM-3 is a promising target to selectively kill acute myeloid leukemia stem cells. Cell Stem Cell7, 708–717 (2010).; Haubner S., Perna F., Köhnke T., Schmidt C., Berman S., Augsberger C., Schnorfeil F.M., Krupka C., Lichtenegger F.S., Liu X., et al. Coexpression profile of leukemic stem cell markers for combinatorial targeted therapy in AML. Leukemia. 2019;33:64–74. doi: 10.1038/s41375-018-0180-3.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	HMMR	positive	1.00	1	Human	hyaluronan mediated motility receptor 	Abcam
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	ITGAE	positive	1.00	1	Human	integrin subunit alpha E 	de Boer, B. et al. Prospective isolation and characterization of genetically and functionally distinct AML subclones. Cancer Cell34, 674–689.e8 (2018).
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	ICAM1	positive	0.50	2	Human	intercellular adhesion molecule 1 	BioCompare; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	IFI27	positive	1.00	1	Human	interferon alpha inducible protein 27 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	IRF4	positive	0.50	2	Human	interferon regulatory factor 4 	Klein U, Casola S, Cattoretti G, Shen Q, Lia M, Mo T, Ludwig T, Rajewsky K, Dalla-Favera R. Transcription factor IRF4 controls plasma cell differentiation and class-switch recombination. Nat Immunol. 2006 Jul;7(7):773-82. doi: 10.1038/ni1357. Epub 2006 Jun 11. PMID: 16767092.; Shaffer, A., Emre, N., Lamy, L. et al. IRF4 addiction in multiple myeloma. Nature454, 226–231 (2008). https://doi.org/10.1038/nature07064
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	IRF8	positive	1.00	1	Human	interferon regulatory factor 8 	Wang H, Lee CH, Qi C, Tailor P, Feng J, Abbasi S, Atsumi T, Morse HC 3rd. IRF8 regulates B-cell lineage specification, commitment, and differentiation. Blood. 2008 Nov 15;112(10):4028-38. doi: 10.1182/blood-2008-01-129049. Epub 2008 Sep 17. PMID: 18799728; PMCID: PMC2581985.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL1RAP	positive	0.08	1	Human	interleukin 1 receptor accessory protein 	CellMarker; CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL1RAP	positive	0.08	4	Human	interleukin 1 receptor accessory protein 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.; Jaras, M. et al. Isolation and killing of candidate chronic myeloid leukemia stem cells by antibody targeting of IL-1 receptor accessory protein. Proc. Natl Acad. Sci. USA107, 16280–16285 (2010).; Askmyr, M. et al. Selective killing of candidate AML stem cells by antibody targeting of IL1RAP. Blood121, 3709–3713 (2013).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL1RAP	positive	0.08	6	Human	interleukin 1 receptor accessory protein 	Ågerstam H, Karlsson C, Hansen N, Sandén C, Askmyr M, von Palffy S, et al. Antibodies targeting human IL1RAP (IL1R3) show therapeutic effects in xenograft models of acute myeloid leukemia. Proc Natl Acad Sci. 2015;112:10786–91.; Askmyr M, Ågerstam H, Hansen N, Gordon S, Arvanitakis A, Rissler M, et al. Selective killing of candidate AML stem cells by antibody targeting of IL1RAP. Blood. 2013;121:3709–13.; Askmyr, M. et al. Selective killing of candidate AML stem cells by antibody targeting of IL1RAP. Blood121, 3709–3713 (2013).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Jaras, M. et al. Isolation and killing of candidate chronic myeloid leukemia stem cells by antibody targeting of IL-1 receptor accessory protein. Proc. Natl Acad. Sci. USA107, 16280–16285 (2010).; Barreyro L, Will B, Bartholdy B, Zhou L, Todorova TI, Stanley RF, et al. Overexpression of IL-1 receptor accessory protein in stem and progenitor cells and outcome correlation in AML and MDS. Blood. 2012;120:1290–8.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL2RA	positive	0.08	1	Human	interleukin 2 receptor subunit alpha 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL2RA	positive	0.08	5	Human	interleukin 2 receptor subunit alpha 	Kageyama Y., Miwa H., Arakawa R., Tawara I., Ohishi K., Masuya M., Nakase K., Katayama N. Expression of CD25 fluctuates in the leukemia-initiating cell population of CD25-positive AML. PLoS ONE. 2018;13:e0209295. doi: 10.1371/journal.pone.0209295.; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.; Sadovnik, I. et al. Identification of CD25 as STAT5-dependent growth regulator of leukemic stem cells in Ph+ CML. Clin. Cancer Res.22, 2051–2061 (2016).; Saito, Y. et al. Identification of therapeutic targets for quiescent, chemotherapy-resistant human leukemia stem cells. Sci.Transl. Med.2, 17ra9 (2010).
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL2RA	positive	0.08	6	Human	interleukin 2 receptor subunit alpha 	Saito Y, Kitamura H, Hijikata A, Tomizawa-Murasawa M, Tanaka S, Takagi S, et al. Identification of therapeutic targets for quiescent, chemotherapy-resistant human leukemia stem cells yoriko. Sci Transl Med. 2010;2:179.; Sadovnik, I. et al. Identification of CD25 as STAT5-dependent growth regulator of leukemic stem cells in Ph+ CML. Clin. Cancer Res.22, 2051–2061 (2016).; Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Saito, Y. et al. Identification of therapeutic targets for quiescent, chemotherapy-resistant human leukemia stem cells. Sci.Transl. Med.2, 17ra9 (2010).; Kageyama Y., Miwa H., Arakawa R., Tawara I., Ohishi K., Masuya M., Nakase K., Katayama N. Expression of CD25 fluctuates in the leukemia-initiating cell population of CD25-positive AML. PLoS ONE. 2018;13:e0209295. doi: 10.1371/journal.pone.0209295.; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL3RA	positive	0.07	1	Human	interleukin 3 receptor subunit alpha 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL3RA	positive	0.07	3	Human	interleukin 3 receptor subunit alpha 	Ito K, Ito K. Leukemia Stem Cells as a Potential Target to Achieve Therapy-Free Remission in Chronic Myeloid Leukemia. Cancers (Basel). 2021 Nov 20;13(22):5822. doi: 10.3390/cancers13225822. PMID: 34830976; PMCID: PMC8616035.; Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	IL3RA	positive	0.07	10	Human	interleukin 3 receptor subunit alpha 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Sadovnik, I. et al. Expression of CD25 on leukemic stem cells in BCR-ABL1+ CML: potential diagnostic value and functional implications. Exp. Hematol.51, 17–24 (2017).; Ding Y, Gao H, Zhang Q. The biomarkers of leukemia stem cells in acute myeloid leukemia. Stem Cell Investig. 2017 Mar 2;4:19. doi: 10.21037/sci.2017.02.10. PMID: 28447034; PMCID: PMC5388677.; Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Haubner S., Perna F., Köhnke T., Schmidt C., Berman S., Augsberger C., Schnorfeil F.M., Krupka C., Lichtenegger F.S., Liu X., et al. Coexpression profile of leukemic stem cell markers for combinatorial targeted therapy in AML. Leukemia. 2019;33:64–74. doi: 10.1038/s41375-018-0180-3.; Guthridge M.A., Stomski F.C., Thomas D., Woodcock J.M., Bagley C.J., Berndt M.C., Lopez A.F. Mechanism of activation of the GM-CSF, IL-3, and IL-5 family of receptors. Stem Cells. 1998;16:301–313. doi: 10.1002/stem.160301.; Al-Mawali A., Pinto A.D., Al-Zadjali S. CD34+CD38-CD123+ Cells Are Present in Virtually All Acute Myeloid Leukaemia Blasts: A Promising Single Unique Phenotype for Minimal Residual Disease Detection. Acta Haematol. 2017;138:175–181. doi: 10.1159/000480448.; Bras A.E., de Haas V., van Stigt A., Jongen-Lavrencic M., Beverloo H.B., te Marvelde J.G., Zwaan C.M., van Dongen J.J.M., Leusen J.H.W., van der Velden V.H.J. CD123 expression levels in 846 acute leukemia patients based on standardized immunophenotyping. Cytom. Part B Clin. Cytom. 2019;96:134–142. doi: 10.1002/cyto.b.21745.; Wells S.J., Bray R.A., Stempora L.L., Farhi D.C. CD117/CD34 expression in leukemic blasts. Am. J. Clin. Pathol. 1996;106:192–195. doi: 10.1093/ajcp/106.2.192.; CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	IL6R	positive	1.00	1	Human	interleukin 6 receptor 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	Kit	positive	1.00	1	Mouse	KIT proto-oncogene receptor tyrosine kinase 	CellMarker
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	KIT	positive	0.11	1	Human	KIT proto-oncogene, receptor tyrosine kinase 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	KIT	positive	0.11	3	Human	KIT proto-oncogene, receptor tyrosine kinase 	Milteny Biotec; BioCompare; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	KIT	positive	0.11	5	Human	KIT proto-oncogene, receptor tyrosine kinase 	Sperling C., Schwartz S., Büchner T., Thiel E., Ludwig W.D. Expression of the stem cell factor receptor C-KIT (CD117) in acute leukemias. Haematologica. 1997;82:617–621.; Wells S.J., Bray R.A., Stempora L.L., Farhi D.C. CD117/CD34 expression in leukemic blasts. Am. J. Clin. Pathol. 1996;106:192–195. doi: 10.1093/ajcp/106.2.192.; Geissler E.N., Liao M., Brook J.D., Martin F.H., Zsebo K.M., Housman D.E., Galli S.J. Stem cell factor (SCF), a novel hematopoietic growth factor and ligand for c-kit tyrosine kinase receptor, maps on human chromosome 12 between 12q14.3 and 12qter. Somat Cell Mol. Genet. 1991;17:207–214. doi: 10.1007/BF01232978.; CellMarker; Quek L., Otto G.W., Garnett C., Lhermitte L., Karamitros D., Stoilova B., Lau I.J., Doondeea J., Usukhbayar B., Kennedy A., et al. Genetically distinct leukemic stem cells in human CD34− acute myeloid leukemia are arrested at a hemopoietic precursor-like stage. J. Exp. Med. 2016;213:1513–1535. doi: 10.1084/jem.20151775.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	Ly6a	positive	1.00	1	Mouse	lymphocyte antigen 6 complex, locus A 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	MZB1	positive	1.00	1	Human	marginal zone B and B1 cell specific protein 	Cohen, Y.C., Zada, M., Wang, SY. et al. Identification of resistance pathways and therapeutic targets in relapsed multiple myeloma patients through single-cell sequencing. Nat Med 27, 491–503 (2021). https://doi.org/10.1038/s41591-021-01232-w
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	MME	negative	0.33	1	Human	membrane metalloendopeptidase 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	MME	positive	0.33	2	Human	membrane metalloendopeptidase 	Morgan D, Tergaonkar V. Unraveling B cell trajectories at single cell resolution. Trends Immunol. 2022 Mar;43(3):210-229. doi: 10.1016/j.it.2022.01.003. Epub 2022 Jan 25. PMID: 35090788.; Liu, R., Gao, Q., Foltz, S.M. et al. Co-evolution of tumor and immune cells during progression of multiple myeloma. Nat Commun 12, 2559 (2021). https://doi.org/10.1038/s41467-021-22804-x
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	MS4A1	negative	0.20	1	Human	membrane spanning 4-domains A1 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	MS4A1	negative	0.20	2	Human	membrane spanning 4-domains A1 	Solimando, A.G.; Da Vià, M.C.; Bolli, N.; Steinbrunn, T. The Route of the Malignant Plasma Cell in Its Survival Niche: Exploring “Multiple Myelomas”. Cancers 2022, 14, 3271. https://doi.org/10.3390/cancers14133271; Biolegend
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	MS4A1	positive	0.20	2	Human	membrane spanning 4-domains A1 	Biolegend; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	MUC1	positive	1.00	1	Human	mucin 1, cell surface associated 	ThermoFisher
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	MSI2	positive	1.00	1	Human	musashi RNA binding protein 2 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	NCAM1	positive	0.11	1	Human	neural cell adhesion molecule 1 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	NCAM1	positive	0.11	3	Human	neural cell adhesion molecule 1 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.; Zeijlemaker W, Kelder A, Oussoren-Brockhoff YJM, Scholten WJ, Snel AN, Veldhuizen D, et al. A simple one-tube assay for immunophenotypical quantification of leukemic stem cells in acute myeloid leukemia. Leukemia. 2016;30:439–46.; Sasca D., Szybinski J., Schüler A., Shah V., Heidelberger J., Haehnel P.S., Dolnik A., Kriege O., Fehr E.M., Gebhardt W.H., et al. NCAM1 (CD56) promotes leukemogenesis and confers drug resistance in AML. Blood. 2019;133:2305–2319. doi: 10.1182/blood-2018-12-889725.
